time  train_data train_data_size test_data test_data_size train_acc test_acc_unavg test_acc_avg epochs learning_rate features feature_count
12/24/19, 11:23:56	treebank_train_500_1000	450	split_%10	50	99.55777777777777	60.48	63.68	10	1.0	arcfeatures_exp5	603374
12/24/19, 12:21:34	treebank_train_1000_1500	450	split_%10	50	99.32888888888888	70.38	75.3	10	1.0	arcfeatures_exp5	602388
12/24/19, 13:51:25	treebank_train_0_500	450	split_%10	50	99.51333333333334	67.64	68.66	10	1.0	arcfeatures_exp6	767025
12/24/19, 14:20:16	treebank_train_1000_1500	450	split_%10	50	99.81333333333333	71.44	73.22	20	1.0	arcfeatures_exp5	602388
12/24/19, 14:55:42	treebank_train_0_500	450	split_%10	50	99.61777777777777	67.8	69.28	10	1.0	arcfeatures_exp7	534483
12/24/19, 15:17:44	treebank_train_1000_1500	450	split_%10	50	99.01555555555555	71.22	74.04	10	1.0	arcfeatures_exp7	602405
12/24/19, 16:54:07	treebank_train_0_500	450	split_%10	50	99.8711111111111	67.54	69.18	20	1.0	arcfeatures_exp7	534483
12/25/19, 23:33:58	treebank_tr_imst_ud_train	4660	treebank_tr_imst_ud_test_fixed	562	98.16609442060086	70.69039145907473	72.80427046263345	10	1.0	arcfeatures_exp7	4462450
12/26/19, 10:12:18	treebank_tr_imst_ud_train_dev	5073	treebank_tr_imst_ud_test_fixed	562	98.22117090479007	71.63345195729538	73.45551601423487	10	1.0	arcfeatures_exp7	4796477
12/27/19, 00:55:18	treebank_train_0_500	450	split_%10	50	99.38888888888889	67.36	69.76	10	1.0	arcfeatures_exp7	534483
12/27/19, 14:00:48	treebank_train_0_500	450	split_%10	50	93.64222222222222	61.56	66.0	20	1.0	arcfeatures_exp8	168831
12/27/19, 14:37:05	treebank_tr_imst_ud_train_dev	5073	treebank_tr_imst_ud_test_fixed	562	98.22550758919772	68.81138790035587	73.04270462633453	20	1.0	arcfeatures_exp7	479647701/04/20, 03:26:09	treebank_tr_imst_ud_train_dev	5073	treebank_tr_imst_ud_test_fixed	562	98.45259215454367	70.91992882562278	73.56583629893238	10	1.0	arcfeatures_exp7	4796477
01/04/20, 22:50:47	treebank_tr_imst_ud_train_dev	5073	treebank_tr_imst_ud_test_fixed	562	97.1224127735068	70.36654804270462	73.41992882562278	10	1.0	arcfeatures_exp7	4796477
01/05/20, 11:34:25	treebank_tr_imst_ud_train_dev	5073	treebank_tr_imst_ud_test_fixed	562	98.52197910506604	70.66903914590748	72.09074733096085	10	1.0	arcfeatures_exp2	4347060
